id,timestamp,vehicle_id,latitude,longitude,altitude,speed,rpm,engine_temp,throttle_pos,engine_load,fuel_level,fl_pressure,fl_temp,fl_battery,fr_pressure,fr_temp,fr_battery,rl_pressure,rl_temp,rl_battery,rr_pressure,rr_temp,rr_battery
116,2025-11-07 04:22:26+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973517333,107.6456657,692.2,13,1967,85,20,40,,,,,,,,,,,,,
117,2025-11-07 04:22:31+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973689833,107.6456428,692.1,9,1373,85,15.68627,18.43137,,,,,,,,,,,,,
118,2025-11-07 04:22:36+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9737795,107.6456282,692.7,5,776,85,18.82353,57.64706,,,,,,,,,,,,,
119,2025-11-07 04:22:41+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973884667,107.6456098,693,11,1658,85,19.21569,38.82353,,,,,,,,,,,,,
120,2025-11-07 04:22:46+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9740345,107.645583,693.1,12,1790,85,17.64706,24.31373,,,,,,,,,,,,,
121,2025-11-07 04:22:51+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974185,107.6455782,693,12,1725,85,18.82353,32.94118,,,,,,,,,,,,,
122,2025-11-07 04:22:56+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974298333,107.6456065,693.4,7,1058,85,17.64706,38.03922,,,,,,,,,,,,,
123,2025-11-07 04:23:01+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974347,107.6455398,693.4,7,1136,85,18.03922,40,,,,,,,,,,,,,
124,2025-11-07 04:23:06+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974305333,107.6454605,692.6,5,912,85,16.47059,34.11765,,,,,,,,,,,,,
125,2025-11-07 04:23:11+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974284167,107.6453835,692.4,6,881,85,18.03922,45.4902,,,,,,,,,,,,,
126,2025-11-07 04:23:16+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974268667,107.6452748,692.6,14,2123,85,21.56863,48.23529,,,,,,,,,,,,,
127,2025-11-07 04:23:21+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974235,107.6450818,691.7,11,1603,85,16.07843,18.03922,,,,,,,,,,,,,
128,2025-11-07 04:23:26+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974218167,107.6449837,691.3,7,1141,85,18.82353,45.88235,,,,,,,,,,,,,
