timestamp,latitude,longitude,altitude,speed,engine_load,fl_pressure,fl_temp,fr_pressure,fr_temp,rl_pressure,rl_temp,rr_pressure,rr_temp,distance_traveled_m,sum_distance_traveled_m,elevation_traveled_m,tr_fl,tr_fr,tr_rl,tr_rr
2025-11-21 07:23:45+00,-6.963640833,107.709704,683.8,8,68.23529,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,25.528122511386233,1267.2584246776146,0.0,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:50+00,-6.9637915,107.7096898,683.8,20,76.07843,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,16.826582764575818,1284.0850074421903,0.0,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:55+00,-6.964105167,107.7096552,683.7,27,40.0,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,35.08668180125692,1319.1716892434472,-0.09999999999990905,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:00+00,-6.964425833,107.709611,683.9,21,41.96078,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,35.9886792708168,1355.160368514264,0.1999999999999318,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:05+00,-6.9646825,107.7095658,685.1,18,80.78432,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,28.97286992925756,1384.1332384435216,1.2000000000000455,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:10+00,-6.9648335,107.7093787,685.7,22,70.58823,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,26.615532838453433,1410.748771281975,0.6000000000000227,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:15+00,-6.9649915,107.7090898,685.3,31,69.41177,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,36.406827762321704,1447.1555990442967,-0.40000000000009095,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:21+00,-6.965238333,107.7086522,684.1,36,56.07843,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,55.55352678527106,1502.7091258295677,-1.1999999999999318,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:26+00,-6.965458833,107.7082472,684.0,37,55.29412,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,50.98425611792077,1553.6933819474884,-0.10000000000002274,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:31+00,-6.965657,107.707868,683.4,31,45.88235,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,47.300148627431106,1600.9935305749195,-0.6000000000000227,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:36+00,-6.965821833,107.707548,684.1,27,45.4902,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,39.79228028230672,1640.7858108572264,0.7000000000000455,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:41+00,-6.965970833,107.7072625,684.8,24,46.66667,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,35.601941632001875,1676.3877524892282,0.6999999999999318,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:46+00,-6.966227333,107.707102,704.4,24,54.5098,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,33.575314213668086,1709.9630667028962,19.600000000000023,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:51+00,-6.9663015,107.70675,693.2,22,62.35294,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,39.71736852945743,1749.6804352323536,-11.199999999999932,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:24:56+00,-6.966419167,107.70646,691.4,25,44.70588,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,34.5794129812934,1784.259848213647,-1.8000000000000682,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:25:01+00,-6.966551167,107.7061777,691.7,25,66.27451,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,34.44265148671495,1818.702499700362,0.3000000000000682,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:25:06+00,-6.966666167,107.7058498,691.1,28,58.43137,26.97607,37.0,29.58666,39.0,30.16679,33.0,23.78535,25.0,38.38431868964143,1857.0868183900036,-0.6000000000000227,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:25:11+00,-6.966781167,107.7055307,690.5,25,42.35294,26.97607,37.0,29.58666,39.0,30.16679,33.0,23.78535,25.0,37.46989893777474,1894.5567173277784,-0.6000000000000227,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:25:16+00,-6.966893667,107.7052798,690.4,23,41.56863,26.97607,37.0,29.58666,39.0,30.16679,33.0,23.78535,25.0,30.387176215833666,1924.9438935436121,-0.10000000000002274,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:25:21+00,-6.966981833,107.7050135,691.0,19,55.68628,26.97607,37.0,29.58666,39.0,30.16679,33.0,23.78535,25.0,30.984456915813407,1955.9283504594255,0.6000000000000227,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:25:26+00,-6.9670585,107.7047915,691.3,15,50.19608,26.97607,37.0,29.58666,39.0,30.16679,33.0,23.78535,25.0,25.943674115108823,1981.8720245745344,0.2999999999999545,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:25:31+00,-6.967125333,107.7046127,690.8,15,69.01961,26.97607,37.0,29.58666,39.0,30.16679,33.0,23.78535,25.0,21.087732076864473,2002.959756651399,-0.5,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:25:36+00,-6.9672285,107.7043652,688.6,26,53.33333,26.97607,37.0,29.58666,39.0,30.16679,33.0,23.78535,25.0,29.628505270499815,2032.5882619218987,-2.199999999999932,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
