timestamp,latitude,longitude,altitude,speed,engine_load,fl_pressure,fl_temp,fr_pressure,fr_temp,rl_pressure,rl_temp,rr_pressure,rr_temp,distance_traveled_m,sum_distance_traveled_m,elevation_traveled_m,tr_fl,tr_fr,tr_rl,tr_rr
2025-11-14 05:38:12+00,-6.912952167,107.6593067,688.2,21,53.33333,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,15.650112041180103,578.0834912362584,-0.09999999999990905,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:17+00,-6.913159667,107.6593455,685.0,15,45.09804,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,23.467136272881,601.5506275091394,-3.2000000000000455,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:22+00,-6.9133575,107.6593835,684.6,6,50.19608,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,22.39441725887943,623.9450447680189,-0.39999999999997726,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:27+00,-6.913452333,107.6594123,684.0,12,53.72549,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,11.013770462825818,634.9588152308447,-0.6000000000000227,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:32+00,-6.913526167,107.6595307,684.6,20,54.5098,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,15.43446339388493,650.3932786247296,0.6000000000000227,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:37+00,-6.913599167,107.6597563,685.7,10,50.98039,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,26.192736467419685,676.5860150921493,1.1000000000000227,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:42+00,-6.913642833,107.6599033,687.7,5,51.37255,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,16.937683906037634,693.5236989981869,2.0,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:47+00,-6.913668833,107.6599895,689.3,3,70.58823,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,9.944828622935226,703.4685276211221,1.599999999999909,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:52+00,-6.913686833,107.6600515,691.1,2,60.0,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,7.130631926226109,710.5991595473482,1.8000000000000682,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:57+00,-6.9136955,107.6600802,691.8,5,54.11765,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,3.3114329733497194,713.910592520698,0.6999999999999318,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:39:17+00,-6.91373,107.6601768,691.0,2,58.03922,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,11.332407557422895,725.2430000781209,-0.7999999999999545,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:39:22+00,-6.913743167,107.6602013,690.7,4,71.37255,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,3.0753475723488397,728.3183476504697,-0.2999999999999545,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:39:27+00,-6.91379,107.6602387,691.0,12,95.68627,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,6.645542630286741,734.9638902807565,0.2999999999999545,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:39:32+00,-6.913923333,107.6602262,690.3,24,46.27451,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,14.890044606364073,749.8539348871205,-0.7000000000000455,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:39:37+00,-6.914198,107.6601512,690.9,10,64.70588,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,31.643831471241956,781.4977663583625,0.6000000000000227,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
